100	0	0
99.9013	0.0143	0
99.6057	0.0572	0
99.1144	0.128	0
98.4292	0.226	0
97.5528	0.3501	0
96.4888	0.499	0
95.2414	0.671	0
93.8153	0.8643	0
92.2164	1.077	0
90.4508	1.3071	0
88.5257	1.5523	0
86.4484	1.8106	0
84.2274	2.0795	0
81.8712	2.3569	0
79.3893	2.6405	0
76.7913	2.9279	0
74.0877	3.2168	0
71.289	3.5048	0
68.4062	3.7896	0
65.4508	4.0686	0
62.4345	4.3394	0
59.3691	4.5992	0
56.2667	4.8455	0
53.1395	5.0754	0
50	5.2862	0
46.8605	5.4749	0
43.7333	5.639	0
40.6309	5.7755	0
37.5655	5.8819	0
34.5492	5.9557	0
31.5938	5.9947	0
28.711	5.9971	0
25.9123	5.9614	0
23.2087	5.8863	0
20.6107	5.7712	0
18.1288	5.6159	0
15.7726	5.4206	0
13.5516	5.1862	0
11.4743	4.9138	0
9.5492	4.6049	0
7.7836	4.2615	0
6.1847	3.8859	0
4.7586	3.4803	0
3.5112	3.0473	0
2.4472	2.5893	0
1.5708	2.1088	0
0.8856	1.6078	0
0.3943	1.0884	0
0.0987	0.5521	0
0	0	0
0.0987	-0.5521	0
0.3943	-1.0884	0
0.8856	-1.6078	0
1.5708	-2.1088	0
2.4472	-2.5893	0
3.5112	-3.0473	0
4.7586	-3.4803	0
6.1847	-3.8859	0
7.7836	-4.2615	0
9.5492	-4.6049	0
11.4743	-4.9138	0
13.5516	-5.1862	0
15.7726	-5.4206	0
18.1288	-5.6159	0
20.6107	-5.7712	0
23.2087	-5.8863	0
25.9123	-5.9614	0
28.711	-5.9971	0
31.5938	-5.9947	0
34.5492	-5.9557	0
37.5655	-5.8819	0
40.6309	-5.7755	0
43.7333	-5.639	0
46.8605	-5.4749	0
50	-5.2862	0
53.1395	-5.0754	0
56.2667	-4.8455	0
59.3691	-4.5992	0
62.4345	-4.3394	0
65.4508	-4.0686	0
68.4062	-3.7896	0
71.289	-3.5048	0
74.0877	-3.2168	0
76.7913	-2.9279	0
79.3893	-2.6405	0
81.8712	-2.3569	0
84.2274	-2.0795	0
86.4484	-1.8106	0
88.5257	-1.5523	0
90.4508	-1.3071	0
92.2164	-1.077	0
93.8153	-0.8643	0
95.2414	-0.671	0
96.4888	-0.499	0
97.5528	-0.3501	0
98.4292	-0.226	0
99.1144	-0.128	0
99.6057	-0.0572	0
99.9013	-0.0143	0
100	0	0
